单位：平方公里,,,,,,,,
行政单位,年份,耕地,园地,林地,草地,城镇村,交通运输用地,水域及水利设施用地
通辽市,2014,0.247641994,0.001167048,0.254054349,0.42395333,0.034191586,0.014497051,0.024494643
通辽市,2015,0.249163944,0.001154985,0.25397626,0.422243092,0.034469074,0.014533497,0.024459147
通辽市,2016,0.250673645,0.001154845,0.253536759,0.420784728,0.03480181,0.014603923,0.024444289
鄂尔多斯市,2009,0.054762865,0.000322873,0.176719066,0.72507378,0.013614471,0.007183921,0.022323024
鄂尔多斯市,2010,0.054751399,0.000322858,0.176110229,0.723965104,0.014627233,0.007865234,0.022357942
鄂尔多斯市,2011,0.054895424,0.000322861,0.175896552,0.723074651,0.015335909,0.008134354,0.022340249
鄂尔多斯市,2012,0.054890499,0.000322832,0.17544145,0.72284836,0.015738073,0.008447444,0.022311342
鄂尔多斯市,2013,0.055343876,0.000322809,0.175222543,0.721864024,0.016283972,0.008599232,0.022363544
鄂尔多斯市,2014,0.055486765,0.000313795,0.175086485,0.721212003,0.016768037,0.00869788,0.022435035
鄂尔多斯市,2015,0.05545447,0.000313814,0.175007899,0.720916456,0.017082904,0.008743219,0.022481237
鄂尔多斯市,2016,0.055563491,0.000313772,0.174778073,0.720174029,0.017430291,0.009217208,0.022523137
呼伦贝尔市,2009,0.076960327,0.000143865,0.55711023,0.334511792,0.006606083,0.004224241,0.020443462
呼伦贝尔市,2010,0.076954345,0.000143864,0.557120997,0.334404852,0.006694556,0.004243597,0.020437789
呼伦贝尔市,2011,0.077084146,0.000143859,0.556936234,0.334322736,0.006768986,0.004287665,0.020456376
呼伦贝尔市,2012,0.077160112,0.000143861,0.556926077,0.334137397,0.006849348,0.004301595,0.020481611
呼伦贝尔市,2013,0.077288016,0.000143862,0.556911362,0.333957593,0.006888119,0.004329266,0.020481781
呼伦贝尔市,2014,0.077407621,0.000143863,0.55675272,0.333838646,0.006949049,0.004417852,0.020490249
呼伦贝尔市,2015,0.077394192,0.000143864,0.556753077,0.333787928,0.006998882,0.004442774,0.020479284
